,Land Area,Ocean Area,Environment,Species,Scientific name
43,Asia,Inland waters,Brackishwater,Crustaceans,Crustaceans
44,Asia,Inland waters,Brackishwater,Diadromous fishes,Diadromous fishes
45,Asia,Inland waters,Brackishwater,Freshwater fishes,Freshwater fishes
46,Asia,Inland waters,Brackishwater,Marine fishes,Marine fishes
47,Asia,Inland waters,Freshwater,Aquatic plants,Aquatic plants
48,Asia,Inland waters,Freshwater,Crustaceans,Crustaceans
49,Asia,Inland waters,Freshwater,Diadromous fishes,Diadromous fishes
50,Asia,Inland waters,Freshwater,Freshwater fishes,Freshwater fishes
51,Asia,Inland waters,Freshwater,Marine fishes,Marine fishes
52,Asia,Inland waters,Freshwater,Miscellaneous aquatic animal products,Miscellaneous aquatic animal products
53,Asia,Inland waters,Freshwater,Miscellaneous aquatic animals,Miscellaneous aquatic animals
54,Asia,Inland waters,Freshwater,Molluscs,Molluscs
55,Asia,Marine areas,Brackishwater,Aquatic plants,Aquatic plants
56,Asia,Marine areas,Brackishwater,Crustaceans,Crustaceans
57,Asia,Marine areas,Brackishwater,Diadromous fishes,Diadromous fishes
58,Asia,Marine areas,Brackishwater,Freshwater fishes,Freshwater fishes
59,Asia,Marine areas,Brackishwater,Marine fishes,Marine fishes
60,Asia,Marine areas,Brackishwater,Miscellaneous aquatic animals,Miscellaneous aquatic animals
61,Asia,Marine areas,Brackishwater,Molluscs,Molluscs
62,Asia,Marine areas,Marine,Aquatic plants,Aquatic plants
63,Asia,Marine areas,Marine,Crustaceans,Crustaceans
64,Asia,Marine areas,Marine,Diadromous fishes,Diadromous fishes
65,Asia,Marine areas,Marine,Freshwater fishes,Freshwater fishes
66,Asia,Marine areas,Marine,Marine fishes,Marine fishes
67,Asia,Marine areas,Marine,Miscellaneous aquatic animal products,Miscellaneous aquatic animal products
68,Asia,Marine areas,Marine,Miscellaneous aquatic animals,Miscellaneous aquatic animals
69,Asia,Marine areas,Marine,Molluscs,Molluscs
